##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_CD_Jun14_Log2_**
GeneNetwork Accession Number: GN714
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=714

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD60	BXD61	BXD62	BXD63	BXD64	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD65b	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	
144.0301812_MZ	2-Keto-glutaramic acid	Un	1.0	None	None	None	None	deaminated metabolite of glutamine in csf of patients with hepatic coma; intermediate in the detoxification of ammonia in brain; structure.	C5H7NO4		None	None	None	12.608	12.177	12.327	12.129	12.46	12.449	12.312	12.288	12.397	12.254	12.352	12.291	12.186	12.403	12.098	12.326	12.217	12.239	11.971	12.331	12.405	12.082	12.354	12.278	12.248	12.101	12.493	12.125	12.189	12.446	12.322	12.36	12.304	12.181	12.07	12.198	12.031	12.172	12.121	11.983	12.248	
144.0568800_MZ	5-Methylcytosine	Un	1.0	None	None	None	None	5-Methylcytosine is a methylated nucleotide base found in eukaryotic DNA. In animals, the DNA methylation of cytosine to form 5-methylcytosine is found primarily in the palindromic sequence CpG. In plants, the methylated sequence is CpNpGp, where N can be any base. -- Pubchem; 5-Methylcytosine is a methylated form of cytosine in which a methyl group is attached to carbon 5, altering its structure without altering its base-pairing properties. -- Wikipedia; 5-Methylcytosine is an epigenetic modification formed by the action of DNA methyltransferases. In bacteria, 5-methylcytosine can be found at a variety of sites, and is often used as a marker to protect DNA from being cut by native methylation-sensitive restriction enzymes. In plants, 5-methylcytosine occurs at both CpG and CpNpG sequences. In fungi and animals, 5-methylcytosine predominately occurs at CpG dinucleotides. Although most eukaryotes methylate only a small percentage of these sites, in vertebrates 70-80% of CpG cytosines are methylated. -- Wikipedia.	C5H7N3O, 2-O-Methylcytosine		None	None	None	12.653	12.543	12.285	13.07	12.214	12.347	12.861	13.319	12.069	12.59	12.72	12.55	12.091	12.207	12.507	12.38	12.541	12.335	11.795	12.257	12.252	12.027	12.219	12.196	12.205	12.432	12.792	12.155	12.039	12.528	12.34	12.348	12.162	12.265	12.233	12.017	12.284	12.09	12.167	12.048	12.044	
144.0666377_MZ	Allysine	Un	1.0	None	None	None	None	Allysine is a derivative of Lysine, used in the production of elastin and collagen. It is produced by the actions of the enzyme lysyl oxidase in the extracellular matrix and is essential in the crosslink formation that stabilizes collagen and elastin.	C6H11NO3, 4-Acetamidobutanoic acid, 2-Keto-6-aminocaproate, (S)-5-Amino-3-oxohexanoate		None	None	None	16.373	15.759	15.941	17.311	16.644	16.136	16.477	15.817	16.231	16.465	16.371	16.594	15.642	16.062	16.275	16.234	16.327	16.597	15.961	15.013	16.476	15.408	16.483	15.954	15.781	15.878	15.508	15.844	16.316	16.087	16.014	17.321	16.328	15.971	16.085	15.65	15.287	16.331	16.033	15.996	16.384	
144.1029393_MZ	3-Dehydroxycarnitine	Un	1.0	None	None	None	None	3-Dehydroxycarnitine is an acylcarnitine. Numerous disorders have been described that lead to disturbances in energy production and in intermediary metabolism in the organism which are characterized by the production and excretion of unusual acylcarnitines. A mutation in the gene coding for carnitine-acylcarnitine translocase or the OCTN2 transporter aetiologically causes a carnitine deficiency that results in poor intestinal absorption of dietary L-carnitine, its impaired reabsorption by the kidney and, consequently, in increased urinary loss of L-carnitine. Determination of the qualitative pattern of acylcarnitines can be of diagnostic and therapeutic importance. The betaine structure of carnitine requires special analytical procedures for recording. The ionic nature of L-carnitine causes a high water solubility which decreases with increasing chain length of the ester group in the acylcarnitines. Therefore, the distribution of L-carnitine and acylcarnitines in various organs is defined by their function and their physico-chemical properties as well. High performance liquid chromatography (HPLC) permits screening for free and total carnitine, as well as complete quantitative acylcarnitine determination, including the long-chain acylcarnitine profile. (PMID: 17508264, Monatshefte fuer Chemie (2005), 136(8), 1279-1291., Int J Mass Spectrom. 1999;188:39-52.).	C7H15NO2		None	None	None	12.374	12.01	12.307	13.025	14.155	12.588	11.936	13.455	12.539	12.236	13.795	14.051	12.073	13.727	12.358	11.897	13.334	13.415	12.998	12.276	12.818	12.995	11.949	14.455	11.558	14.059	14.584	13.493	14.089	13.482	13.398	12.039	12.617	12.283	11.44	12.139	11.685	14.179	13.478	12.698	14.115	
145.0141831_MZ	Oxoglutaric acid	Un	1.0	None	None	None	None	Alpha-ketoglutaric acid is an important biological compound and is a key intermediate in the Krebs cycle. Alpha-ketoglutaric acid occurs naturally within cells. One of its functions is to combine with ammonia to form glutamic acid and then glutamine. Another function is to combine with nitrogen released in the cell, therefore preventing nitrogen overload. (wikipedia).	C5H6O5		None	None	None	13.939	15.457	15.344	16.69	15.38	15.466	15.718	15.489	16.008	15.505	15.653	16.237	14.551	14.831	15.376	15.374	15.762	14.278	14.822	14.962	15.467	15.742	15.214	15.158	15.157	15.264	16.352	15.747	15.307	15.59	14.855	16.044	15.542	15.206	15.09	16.253	15.024	15.863	15.444	15.968	16.036	
145.0504303_MZ	Adipic acid	Un	1.0	None	None	None	None	Adipic acid is an important inudstrial dicarboxylic acid with about 2.5 billion kilograms produced per year. It is used mainly in the production of nylon. It occurs relatively rarely in nature. It has a tart taste and is also used as an additive and gelling agent in jello or gelatins. It is also used in some calcium carbonate antacids to make them tart. Adipic acid has also been incorporated into controlled-release formulation matrix tablets to obtain pH-independent release for both weakly basic and weakly acidic drugs. Adipic acid in the urine and in the blood is typically exogenous in origin and is a good biomarker of jello consumption. In fact, a condition known as adipic aciduria is actually an artifact of jello consumption (PMID: 1779643). However, certain disorders (such as diabetes and glutaric aciduria type I.) can lead to elevated levels of adipic acid snd other dicarboxcylic acids (such as suberic acid) in urine (PMID: 17520433; PMID: 6778884).	C6H10O4, 2-Methylglutaric acid, Methylglutaric acid, Monomethyl glutaric acid, 2,2-Dimethylsuccinic acid, Solerol, (S)-2-Aceto-2-hydroxybutanoic acid		None	None	None	16.039	15.532	15.129	15.986	15.357	15.646	15.298	16.532	15.377	15.745	15.744	15.429	14.764	15.393	15.498	15.913	15.39	15.297	15.146	15.045	15.636	15.38	15.551	15.318	15.445	15.453	15.636	15.671	15.799	15.015	15.935	16.229	15.801	15.255	15.479	15.182	15.428	15.416	15.555	15.487	15.173	
145.0619989_MZ	L-Glutamine	Un	1.0	None	None	None	None	Glutamine (Gln) is one of the 20 amino acids encoded by the standard genetic code. Its side chain is an amide; it is formed by replacing a side-chain hydroxyl of glutamic acid with an amine functional group. glutamine is found in foods high in proteins, such as fish, red meat, beans, and dairy products. glutamine is a supplement that is used in weightlifting, bodybuilding, endurance and other sports, as well as by those who suffer from muscular cramps or pain particularly elderly people. The main use of glutamine within the diet of either group is as a means of replenishing the body's stores of amino acids that have been used during exercise or everyday activities. Studies which are looking into problems with excessive consumption of glutamine thus far have proved inconclusive. However, normal supplementation is healthy mainly because glutamine is supposed to be supplemented after prolonged periods of exercise (for example, a workout or exercise in which amino acids are required for use) and replenishes amino acid stores; this being the main reason glutamine is recommended during fasting or for people who suffer from physical trauma, immune deficiencies, or cancer. There is a significant body of evidence that links glutamine-enriched diets with intestinal effects; aiding maintenance of gut barrier function, intestinal cell proliferation and differentiation, as well as generally reducing septic morbidity and the symptoms of Irritable Bowel Syndrome. The reason for such cleansing properties is thought to stem from the fact that the intestinal extraction rate of glutamine is higher than that for other amino acids, and is therefore thought to be the most viable option when attempting to alleviate conditions relating to the gastrointestinal tract. These conditions were discovered after comparing plasma concentration within the gut between glutamine-enriched and non glutamine-enriched diets. However, even though glutamine is thought to have cleansing properties and effects, it is unknown to what extent glutamine has clinical benefits, due to the varied concentrations of glutamine in varieties of food. It is also known that glutamine has various effects in reducing healing time after operations. Hospital waiting times after abdominal surgery are reduced by providing parenteral nutrition regimens containing amounts of glutamine to patients. Clinical trials have revealed that patients on supplementation regimes containing glutamine have improved nitrogen balances, generation of cysteinyl-leukotrienes from polymorphonuclear neutrophil granulocytes and improved lymphocyte recovery and intestinal permeability (in postoperative patients) - in comparison to those who had no glutamine within their dietary regime; all without any side-effects. (http://en.wikipedia.org/wiki/glutamine).	C5H10N2O3, Ureidoisobutyric acid, Alanylglycine		None	None	None	21.363	21.559	21.477	20.834	21.084	21.348	20.64	21.201	20.943	20.932	21.068	21.031	21.197	21.402	20.861	21.684	20.731	21.076	21.371	21.008	21.219	21.559	20.552	21.368	20.723	20.871	21.372	20.945	20.745	21.16	20.751	20.491	21.072	21.242	21.052	21.05	20.702	21.107	21.659	20.981	20.843	
145.0981660_MZ	L-Lysine	Un	1.0	None	None	None	None	L-lysine is an essential amino acid. Normal requirements for lysine have been found to be about 8 g per day or 12 mg/kg in adults. Children and infants need more- 44 mg/kg per day for an eleven to-twelve-year old, and 97 mg/kg per day for three-to six-month old. Lysine is highly concentrated in muscle compared to most other amino acids. Lysine is high in foods such as wheat germ, cottage cheese and chicken. Of meat products, wild game and pork have the highest concentration of lysine. Fruits and vegetables contain little lysine, except avocados. Normal lysine metabolism is dependent upon many nutrients including niacin, vitamin B6, riboflavin, vitamin C, glutamic acid and iron. Excess arginine antagonizes lysine. Several inborn errors of lysine metabolism are known. Most are marked by mental retardation with occasional diverse symptoms such as absence of secondary sex characteristics, undescended testes, abnormal facial structure, anemia, obesity, enlarged liver and spleen, and eye muscle imbalance. Lysine also may be a useful adjunct in the treatment of osteoporosis. Although high protein diets result in loss of large amounts of calcium in urine, so does lysine deficiency. Lysine may be an adjunct therapy because it reduces calcium losses in urine. Lysine deficiency also may result in immunodeficiency. Requirements for this amino acid are probably increased by stress. Lysine toxicity has not occurred with oral doses in humans. Lysine dosages are presently too small and may fail to reach the concentrations necessary to prove potential therapeutic applications. Lysine metabolites, amino caproic acid and carnitine have already shown their therapeutic potential. Thirty grams daily of amino caproic acid has been used as an initial daily dose in treating blood clotting disorders, indicating that the proper doses of lysine, its precursor, have yet to be used in medicine. Low lysine levels have been found in patients with Parkinson's, hypothyroidism, kidney disease, asthma and depression. The exact significance of these levels is unclear, yet lysine therapy can normalize the level and has been associated with improvement of some patients with these conditions. Abnormally elevated hydroxylysines have been found in virtually all chronic degenerative diseases and coumadin therapy. The levels of this stress marker may be improved by high doses of vitamin C. Lysine is particularly useful in therapy for marasmus (wasting) and herpes simplex. It stops the growth of herpes simplex in culture, and has helped to reduce the number and occurrence of cold sores in clinical studies. Dosing has not been adequately studied, but beneficial clinical effects occur in doses ranging from 100 mg to 4 g a day. Higher doses may also be useful, and toxicity has not been reported in doses as high as 8 g per day. Diets high in lysine and low in arginine can be useful in the prevention and treatment of herpes. Some researchers think herpes simplex virus is involved in many other diseases related to cranial nerves such as migraines, Bell's palsy and Meniere's disease. Herpes blister fluid will produce fatal encephalitis in the rabbit. (http://www.dcnutrition.com).	C6H14N2O2, (3S)-3,6-Diaminohexanoate, (3S,5S)-3,5-Diaminohexanoate		None	None	None	18.839	18.777	18.973	18.778	19.168	18.979	18.811	18.35	18.907	18.393	19.004	19.0	18.745	18.403	18.728	18.944	18.906	18.212	18.585	18.564	18.966	19.098	19.002	18.975	18.518	18.737	18.743	18.782	18.817	18.998	18.763	18.687	18.879	18.514	18.744	18.522	18.393	19.102	18.884	19.078	19.234	
146.0254799_MZ	Indole-5,6-quinone	Un	1.0	None	None	None	None	Indole-5,6-quinone is involved in the tyrosine metabolism pathway. More specifically, indole-5,6-quinone is an intermediate in the production of melanin. Indole-5,6-quinone is produced from 5,6-dihydroxyindole by tyrosinase [EC:1.14.18.1].	C8H5NO2		None	None	None	14.814	14.715	14.863	14.63	14.616	14.821	14.74	14.87	14.648	14.68	14.75	14.889	14.743	14.825	14.635	14.729	14.728	14.697	14.678	14.807	14.698	14.68	14.673	14.641	14.716	14.651	14.697	14.566	14.812	14.755	14.882	14.455	14.525	14.618	14.723	14.765	14.735	14.767	14.723	14.642	14.6	
146.0459018_MZ	L-Glutamic acid	Un	1.0	None	None	None	None	Glutamic acid (Glu), also referred to as glutamate (the anion), is one of the 20 proteinogenic amino acids. It is not among the essential amino acids. Glutamate is a key molecule in cellular metabolism. In humans, dietary proteins are broken down by digestion into amino acids, which serves as metabolic fuel or other functional roles in the body. Glutamate is the most abundant fast excitatory neurotransmitter in the mammalian nervous system. At chemical synapses, glutamate is stored in vesicles. Nerve impulses trigger release of glutamate from the pre-synaptic cell. In the opposing post-synaptic cell, glutamate receptors, such as the NMDA receptor, bind glutamate and are activated. Because of its role in synaptic plasticity, it is believed that glutamic acid is involved in cognitive functions like learning and memory in the brain. Glutamate transporters are found in neuronal and glial membranes. They rapidly remove glutamate from the extracellular space. In brain injury or disease, they can work in reverse and excess glutamate can accumulate outside cells. This process causes calcium ions to enter cells via NMDA receptor channels, leading to neuronal damage and eventual cell death, and is called excitotoxicity. The mechanisms of cell death include: * Damage to mitochondria from excessively high intracellular Ca2+. * Glu/Ca2+-mediated promotion of transcription factors for pro-apoptotic genes, or downregulation of transcription factors for anti-apoptotic genes. Excitotoxicity due to glutamate occurs as part of the ischemic cascade and is associated with stroke and diseases like amyotrophic lateral sclerosis, lathyrism, and Alzheimer's disease. glutamic acid has been implicated in epileptic seizures. Microinjection of glutamic acid into neurons produces spontaneous depolarization around one second apart, and this firing pattern is similar to what is known as paroxysmal depolarizing shift in epileptic attacks. This change in the resting membrane potential at seizure foci could cause spontaneous opening of voltage activated calcium channels, leading to glutamic acid release and further depolarization. (http://en.wikipedia.org/wiki/Glutamic_acid).	C5H9NO4, N-Methyl-D-aspartic acid, N-Acetylserine, O-Acetylserine, L-4-Hydroxyglutamate semialdehyde		None	None	None	19.699	19.696	20.194	19.62	20.036	18.889	19.326	20.721	19.478	19.617	19.956	19.547	19.913	19.213	20.136	18.906	19.969	19.983	19.504	19.14	20.087	19.527	19.554	19.402	20.106	19.965	19.753	19.441	19.441	20.457	19.174	19.506	19.739	20.407	19.218	19.599	18.596	20.089	19.137	19.628	20.014	
147.0298102_MZ	D-2-Hydroxyglutaric acid	Un	1.0	None	None	None	None	D-xylonolactone is a lactone derivative of xylonic acid. It is an intermediate in the pentose and glucuronate interconversion pathway and can be formed from either D-xylonic acid or D-xylose. D-xylose is a simple 5 carbon sugar that is found in a variety of edible plants. It is also frequently used in intestinal absorption tests to help diagnose problems that prevent the small intestine from absorbing nutrients in food. Xylose is also the first saccharide added to the serine or threonine in the proteoglycan type O-glycosylation and so it is the first saccharide in biosynthetic pathways of most anionic polysaccharides such as heparan sulfate and chondroitin sulfate. D-xylose is normally easily absorbed by the intestines where it can be converted to D-xylonolactone by intestinal D-xylose 1-dehydrogenase (EC 1.1.1.175).	C5H8O5, Citramalic acid, 3-Hydroxyglutaric acid, D-Xylono-1,5-lactone, L-2-Hydroxyglutaric acid, Ribonolactone		None	None	None	17.468	16.866	17.411	17.651	17.345	17.361	17.16	16.703	17.109	17.262	17.145	16.8	16.386	17.23	17.095	16.389	16.63	16.038	16.966	16.822	17.353	17.168	16.809	17.0	16.561	17.106	16.471	17.091	17.139	16.693	17.003	16.819	16.723	15.913	16.711	16.544	16.26	17.099	17.043	17.015	16.66	
147.0662557_MZ	Mevalonic acid	Un	1.0	None	None	None	None	Mevalonic acid is a key organic compound in biochemistry. It is a precursor in the biosynthetic pathway, known as the HMG-CoA reductase pathway, that produces terpenes and steroids. Mevalonate is produced by NADPH from 3-hydroxy-3-methylglutaryl CoA via reduction. This reaction occurs in the cytosol. It is the committed step in cholesterol synthesis, -- Wikipedia The production of mevalonic acid (MVA) by the enzyme 3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase, is the rate-limiting step in the biosynthesis of cholesterol. (Jemal et. al, Rapid Communications in Mass Spectrometry, 2003, 17:1715) Plasma concentrations and urinary excretion of MVA are decreased by HMG-CoA reductase inhibitor drugs such as pravastatin, simvastatin and atorvastatin. Naoumova RP, Marais AD, Mountney J, Firth JC, Rendell NB, Taylor GW, Thompson GR. Atherosclerosis 1996; 119: 203.	C6H12O4, (R) 2,3-Dihydroxy-3-methylvalerate		None	None	None	15.825	15.284	15.183	14.954	15.042	15.443	14.805	15.285	14.868	15.28	15.262	15.051	14.825	15.63	14.936	15.413	14.761	14.889	15.045	14.746	15.365	15.215	15.089	15.179	14.784	14.908	15.138	14.968	14.937	15.088	15.594	14.857	15.107	14.886	14.914	14.959	14.618	14.935	15.319	14.883	14.897	
147.1177137_MZ	Octanal	Un	1.0	None	None	None	None	Octanal is a substrate for Fatty aldehyde dehydrogenase and Alcohol dehydrogenase.	C8H16O		None	None	None	10.471	10.925	10.539	10.911	11.101	10.791	10.577	10.631	10.732	10.637	10.773	10.973	10.037	10.623	10.84	10.789	10.558	9.854	10.33	10.402	10.626	10.88	10.895	10.829	10.686	10.832	10.885	10.957	10.721	10.773	10.624	10.437	10.454	9.88	10.359	11.03	10.272	10.764	10.692	10.33	10.919	
148.0438526_MZ	L-Methionine	Un	1.0	None	None	None	None	Methionine is a dietary indispensable amino acid required for normal growth and development of humans, other mammals, and avian species. In addition to being a substrate for protein synthesis, it is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is a methyl acceptor for 5-methyltetrahydrofolate-homocysteine methyl transferase (methionine synthase), the only reaction that allows for the recycling of this form of folate, and is also a methyl acceptor for the catabolism of betaine. Methionine is also required for synthesis of cysteine. Methionine is accepted as the metabolic precursor for cysteine. Only the sulfur atom from methionine is transferred to cysteine; the carbon skeleton of cysteine is donated by serine. (PMID 16702340). The adequacy range of dietary requirements of specific amino acids in disease states is difficult to determine. Requirements may not be similar in disease with regard to protein synthesis. Requirements for this purpose can be assessed only when such a function can be measured and related to clinical outcome. There is apparent consensus concerning normal sulfur amino acid (SAA) requirements. WHO recommendations amount to 13 mg/kg per 24 h in healthy adults. This amount is roughly doubled in artificial nutrition regimens. In disease or after trauma, requirements may be altered for methionine, cysteine, and taurine. Although in specific cases of congenital enzyme deficiency, prematurity, or diminished liver function, hypermethionemia or hyperhomocysteinemia may occur, SAA supplementation can be considered safe in amounts exceeding 2-3 times the minimal recommended daily intake. Apart from some very specific indications (e.g., acetaminophen poisoning) the usefulness of SAA supplementation is not yet established.(PMID 16702341). Methionine is known to exacerbate psychopathological symptoms in schizophrenic patients, there is no evidence of similar effects in healthy subjects. The role of methionine as a precursor of homocysteine is the most notable cause for concern. A loading dose of methionine (0.1 g/kg) has been given, and the resultant acute increase in plasma homocysteine has been used as an index of the susceptibility to cardiovascular disease. Although this procedure results in vascular dysfunction, this is acute and unlikely to result in permanent damage. However, a 10-fold larger dose, given mistakenly, resulted in death. Longer-term studies in adults have indicated no adverse consequences of moderate fluctuations in dietary methionine intake, but intakes higher than 5 times normal resulted in elevated homocysteine levels. These effects of methionine on homocysteine and vascular function are moderated by supplements of vitamins B-6, B-12, C, and folic acid. In infants, methionine intakes of 2 to 5 times normal resulted in impaired growth and extremely high plasma methionine levels, but no adverse long-term consequences were observed. (PMID 16702346).	C5H11NO2S		None	None	None	14.943	15.542	15.506	14.834	15.091	15.076	14.856	14.665	15.03	14.952	14.955	15.099	15.265	14.81	14.787	14.531	15.193	14.725	15.282	14.672	15.04	15.136	14.547	15.236	14.725	14.655	14.579	15.192	14.818	15.048	14.932	14.402	14.681	14.473	14.829	14.968	14.488	15.67	14.833	14.942	15.059	
148.0626493_MZ	6-Methyladenine	Un	1.0	None	None	None	None	6-Methyladenine is a methylated adenine residue. The formation of internal 6-methyladenine (m6A) residues in eucaryotic messenger RNA (mRNA) is a postsynthetic modification in which S-adenosyl-L-methionine (SAM) serves as the methyl donor. 6-Methyladenine residues have also been localized to heterogeneous nuclear RNA (HnRNA), and for the most part these residues are conserved during mRNA processing. Although the biological significance of internal adenine methylation in eucaryotic mRNA remains unclear, a great deal of research has indicated that this modification may be required for mRNA transport to the cytoplasm, the selection of splice sites or other RNA processing reactions. The presence of m6A residues increases the in vitro translation efficiency of dihydrofolate reductase; an inhibition of m6A residues in dihydrofolate reductase transcripts significantly alters their rate of translation. m6A is found in many human fluids: oviductal fluid, blood plasma and urine. (PMID: 1551452, 8925412, 10481270, 16083005, 16684535, 3506820, 3728186).	C6H7N5, 3-Methyladenine, 1-Methyladenine, 7-Methyladenine		None	None	None	13.382	13.152	13.323	13.175	13.241	13.187	13.135	13.166	13.924	13.114	13.149	13.286	12.982	13.219	13.016	13.183	13.073	12.971	13.023	13.044	13.133	13.156	13.196	13.156	13.302	13.026	13.124	12.944	13.079	13.463	13.202	13.72	13.238	13.009	12.993	13.879	13.19	13.287	13.077	13.001	13.131	
149.0456494_MZ	D-Ribose	Un	1.0	None	None	None	None	D-ribose is commonly referred to simply as ribose, a five-carbon sugar found in all living cells. Ribose is not an essential nutrient because it can be synthesized by almost every tissue in the body from other substances, such as glucose. It is vital for life as a component of DNA, RNA, ATP, ADP, and AMP. In nature, small amounts of ribose can be found in ripe fruits and vegetables. Brewer's yeast, which has a high concentration of RNA, is another rich source of ribose. D-ribose is also a component of many so-called energy drinks and antiaging products available on the market today. Ribose is a structural component of ATP, which is the primary energy source for exercising muscle. The adenosine component is an adenine base attached to the five-carbon sugar ribose. ATP provides energy to working muscles by releasing a phosphate group, hence becoming ADP, which in turn may release a phosphate group, then becoming AMP. During intense muscular activity, the total amount of ATP available is quickly depleted. In an effort to correct this imbalance, AMP is broken down in the muscle and secreted from the cell. Once the breakdown products of AMP are released from the cell, the energy potential (TAN pool) of the muscle is reduced and ATP must then be reformed using ribose. Ribose helps restore the level of adenine nucleotides by bypassing the rate-limiting step in the de novo (oxidative pentose phosphate) pathway, which regenerates 5-phosphoribosyl-l-pyrophosphate (PRPP), the essential precursor for ATP. If ribose is not readily available to a cell, glucose may be converted to ribose. Ribose supplementation has been shown to increase the rate of ATP resynthesis following intense exercise. The use of ribose in men with severe coronary artery disease resulted in improved exercise tolerance. Hence, there is interest in the potential of ribose supplements to boost muscular performance in athletic activities. (PMID: 17618002, Curr Sports Med Rep. 2007 Jul;6(4):254-7.).	C5H10O5, D-Xylose, 2-Deoxyribonic acid, D-Ribulose, L-Arabinose, L-Threo-2-pentulose, D-Xylulose, L-Ribulose, Beta-D-ribopyranose, Arabinofuranose		None	None	None	14.368	14.048	14.551	13.446	13.805	14.204	13.839	13.768	13.882	13.927	13.651	13.934	13.809	14.187	13.806	14.42	13.892	14.037	13.811	14.004	13.953	14.054	13.843	14.013	13.79	13.772	13.928	13.757	13.875	13.968	14.404	13.968	13.88	13.548	13.733	13.797	13.466	14.157	14.22	13.978	13.735	
149.0586698_MZ	Hydrocinnamic acid	Un	1.0	None	None	None	None	Hydrocinnamic acid is an analogue of phenylalanine. It is a substrate of the enzyme oxidoreductases [EC 1.14.12.-] in the pathway phenylalanine metabolism (KEGG).	C9H10O2, 3-Methylphenylacetic acid, 4-Coumaryl alcohol, 2-Phenylpropionate		None	None	None	13.969	14.079	13.77	13.724	14.367	13.889	14.056	14.219	13.694	13.902	13.907	14.148	13.414	14.083	14.202	14.276	14.355	13.217	13.531	13.607	13.882	13.911	13.764	13.844	13.988	14.016	14.153	14.002	14.173	14.04	14.037	13.784	13.664	13.091	13.6	14.359	13.713	13.882	13.619	13.763	14.083	
149.0970810_MZ	(+)-(S)-Carvone	Un	1.0	None	None	None	None	Carvone is a volatile terpenoid. Carvone is found in many essential oils and is very abundant in the seeds of caraway (Carum carvi). Carvone is occasionally found as a component of biological fluids in normal individuals. Caraway was used for medicinal purposes by the ancient Romans, but carvone was probably not isolated as a pure compound until Varrentrapp obtained it in1841. (PMID: 5556886, 2477620, Wikipedia).	C10H14O		None	None	None	13.571	13.868	13.624	13.738	14.105	13.702	13.737	13.922	13.709	13.609	13.77	13.974	13.079	13.97	13.875	13.813	13.792	12.996	13.465	13.438	13.77	13.77	13.592	13.676	13.731	13.644	13.69	14.082	13.765	13.8	13.723	13.456	13.388	12.998	13.392	14.051	13.561	13.606	13.426	13.409	13.66	
150.0901321_MZ	N-Methylphenylethanolamine	Un	1.0	None	None	None	None	N-Methylphenylethanolamine is an intermediate in the metabolism of Tyrosine. It is a substrate for Phenylethanolamine N-methyltransferase.	C9H13NO		None	None	None	10.535	10.524	10.069	10.474	10.378	10.652	10.61	10.532	10.545	10.512	10.743	10.344	10.706	10.623	10.595	10.573	10.954	10.717	10.426	10.313	10.525	10.79	10.674	10.563	10.609	10.391	10.503	10.756	10.2	10.494	10.71	10.381	10.497	10.435	10.474	10.487	10.617	10.726	10.933	10.255	10.386	
151.0260914_MZ	Xanthine	Un	1.0	None	None	None	None	Xanthine is a purine base found in most body tissues and fluids, certain plants, and some urinary calculi. It is an intermediate in the degradation of adenosine monophosphate to uric acid, being formed by oxidation of hypoxanthine. The methylated xanthine compounds caffeine, theobromine, and theophylline and their derivatives are used in medicine for their bronchodilator effects. (Dorland, 28th ed.).	C5H4N4O2, 6,8-Dihydroxypurine		None	None	None	17.401	17.273	17.56	18.532	17.512	18.519	18.209	17.272	17.797	18.748	17.657	18.421	18.578	17.623	18.12	19.056	17.461	19.268	18.365	17.713	17.728	17.999	18.352	17.934	17.354	18.982	17.103	17.88	18.358	18.105	18.295	17.633	18.842	18.436	18.506	17.233	16.238	18.004	18.769	17.62	18.105	
