##########################################################################################################################################################################################################################
Database Name: EPFL_LISP_BXD_Liver_Polar_Metabolites_HFD_Jun14_Log2_**
GeneNetwork Accession Number: GN713
For more information regarding this data set please visit: http://www.genenetwork.org/webqtl/main.py?FormID=sharinginfo&GN_AccessionId=713

Z-Score.
In general, the array data that we enter in GeneNetwork have been log transformed and then z-score normalized, but instead of leaving the mean at 0 and the standard deviation of 1 unit,
the data is rescaled to a mean of 8 units with a standard deviation of 2 units (what we call 2Z + 8 normalized data).

Usage Conditions and Limitations:
Data sets that have been incorporated in the GeneNetwork belong to individuals, groups, and companies listed in the Status and Contacts page. 
Many data sets are still being generated and analyzed, and the data contributors have often agreed to remove protection and let other investigators view, share, and analyze data. 
We request that those of you analyzing these data and preparing publications do your best of acknowledge the original data sources. 
Please contact Robert W. Williams at rwilliams@uthsc.edu or by telephone at (901) 448-7050 if you have questions regarding the status of data and what group to acknowledge. 
If your work relies heavily on the GeneNetwork please consider acknowledging the grants that provide substantial support for this project (see bottom of all web pages). 
Please review the annotated References for relevant citations. For further details on use and citation of data in papers please read the section below on Academic, educational, and not-for-profit institutional use.

The Standard Disclaimers of Warranties.
The University of Tennessee (UT), its trustees, directors, officers, employees, and affiliates make no representation and extend no warranties of any kind,
either express or implied, including warranties of correctness, accuracy, fitness for a particular purpose, merchantability, validity of patent rights claims (issued or pending),
the absence of latent or other defects, whether or not discoverable. In no event shall UT or its trustees, directors, officers, employees, or affiliates be liable for incidental or consequential damages of any kind,
including economic damage or injury to property and lost profits, regardless of whether UT, its trustees, directors, officers, employees, and affiliates shall be advised, shall have other reason to know,
or in fact shall know of the possibility of the foregoing.

Disclaimer.
The data providers make no guarantees or warranties as to the accuracy or completeness of or results to be obtained from accessing and using information from The GeneNetwork.
We will not be liable to any user or anyone else for any inaccuracy, error or omission, regardless of cause, in the data contained in The GeneNetwork databases or any resulting damages.
In addition, the data providers do not warrant that the databases will meet your requirements, be uninterrupted, or error-free.
Data providers expressly exclude and disclaim all expressed and implied warranties of merchantability and fitness for a particular purpose.
Data providers shall not be responsible for any damage or loss of any kind arising out of or related to your use of the databases,including without limitation data loss or corruption, regardless of whether such liability is based in tort, contract, or otherwise.

##########################################################################################################################################################################################################################

ProbeSet	Gene Symbol	Chr	Mb	Gene Id	Strand Gene	Blat Mb Start	Blat Mb End	Description	Aliases	Blat Sequence	UniGeneId	OMIM	HomoloGeneID	C57BL/6J	DBA/2J	BXD68	BXD43	BXD44	BXD45	BXD48	BXD49	BXD50	BXD51	BXD55	BXD56	BXD61	BXD62	BXD63	BXD65	BXD66	BXD69	BXD70	BXD71	BXD73	BXD75	BXD79	BXD73a	BXD81	BXD83	BXD84	BXD85	BXD87	BXD89	BXD90	BXD48a	BXD98	BXD95	BXD99	BXD100	BXD101	BXD103	BXD97	
147.0298102_MZ	D-2-Hydroxyglutaric acid	Un	1.0	None	None	None	None	D-xylonolactone is a lactone derivative of xylonic acid. It is an intermediate in the pentose and glucuronate interconversion pathway and can be formed from either D-xylonic acid or D-xylose. D-xylose is a simple 5 carbon sugar that is found in a variety of edible plants. It is also frequently used in intestinal absorption tests to help diagnose problems that prevent the small intestine from absorbing nutrients in food. Xylose is also the first saccharide added to the serine or threonine in the proteoglycan type O-glycosylation and so it is the first saccharide in biosynthetic pathways of most anionic polysaccharides such as heparan sulfate and chondroitin sulfate. D-xylose is normally easily absorbed by the intestines where it can be converted to D-xylonolactone by intestinal D-xylose 1-dehydrogenase (EC 1.1.1.175).	C5H8O5, Citramalic acid, 3-Hydroxyglutaric acid, D-Xylono-1,5-lactone, L-2-Hydroxyglutaric acid, Ribonolactone		None	None	None	17.076	16.489	17.741	18.159	17.05	17.469	17.267	16.32	17.192	17.203	17.424	16.512	17.655	16.842	15.677	16.037	16.791	16.662	16.947	16.799	16.824	16.477	16.516	16.869	16.298	16.299	16.76	16.763	17.214	16.951	16.898	16.913	16.428	16.358	17.017	17.148	17.051	16.704	16.262	
147.0662557_MZ	Mevalonic acid	Un	1.0	None	None	None	None	Mevalonic acid is a key organic compound in biochemistry. It is a precursor in the biosynthetic pathway, known as the HMG-CoA reductase pathway, that produces terpenes and steroids. Mevalonate is produced by NADPH from 3-hydroxy-3-methylglutaryl CoA via reduction. This reaction occurs in the cytosol. It is the committed step in cholesterol synthesis, -- Wikipedia The production of mevalonic acid (MVA) by the enzyme 3-hydroxy-3-methylglutaryl-coenzyme A (HMG-CoA) reductase, is the rate-limiting step in the biosynthesis of cholesterol. (Jemal et. al, Rapid Communications in Mass Spectrometry, 2003, 17:1715) Plasma concentrations and urinary excretion of MVA are decreased by HMG-CoA reductase inhibitor drugs such as pravastatin, simvastatin and atorvastatin. Naoumova RP, Marais AD, Mountney J, Firth JC, Rendell NB, Taylor GW, Thompson GR. Atherosclerosis 1996; 119: 203.	C6H12O4, (R) 2,3-Dihydroxy-3-methylvalerate		None	None	None	15.109	14.892	14.899	15.107	14.839	15.132	14.726	15.313	14.737	14.933	15.537	15.267	15.252	15.054	14.873	14.988	15.035	14.76	15.238	14.812	15.088	15.05	14.809	15.078	14.991	14.87	15.004	14.828	15.78	14.858	15.117	15.265	14.957	14.768	15.365	15.274	14.674	14.796	14.598	
147.1177137_MZ	Octanal	Un	1.0	None	None	None	None	Octanal is a substrate for Fatty aldehyde dehydrogenase and Alcohol dehydrogenase.	C8H16O		None	None	None	9.812	10.206	10.522	10.197	10.729	10.543	10.08	9.798	10.209	10.127	10.904	10.609	10.137	10.537	9.813	9.889	9.754	10.044	9.675	10.185	10.594	9.592	10.014	10.238	10.201	10.051	9.858	10.055	10.674	9.801	9.97	9.681	10.257	10.151	10.244	9.955	9.977	10.45	9.889	
148.0438526_MZ	L-Methionine	Un	1.0	None	None	None	None	Methionine is a dietary indispensable amino acid required for normal growth and development of humans, other mammals, and avian species. In addition to being a substrate for protein synthesis, it is an intermediate in transmethylation reactions, serving as the major methyl group donor in vivo, including the methyl groups for DNA and RNA intermediates. Methionine is a methyl acceptor for 5-methyltetrahydrofolate-homocysteine methyl transferase (methionine synthase), the only reaction that allows for the recycling of this form of folate, and is also a methyl acceptor for the catabolism of betaine. Methionine is also required for synthesis of cysteine. Methionine is accepted as the metabolic precursor for cysteine. Only the sulfur atom from methionine is transferred to cysteine; the carbon skeleton of cysteine is donated by serine. (PMID 16702340). The adequacy range of dietary requirements of specific amino acids in disease states is difficult to determine. Requirements may not be similar in disease with regard to protein synthesis. Requirements for this purpose can be assessed only when such a function can be measured and related to clinical outcome. There is apparent consensus concerning normal sulfur amino acid (SAA) requirements. WHO recommendations amount to 13 mg/kg per 24 h in healthy adults. This amount is roughly doubled in artificial nutrition regimens. In disease or after trauma, requirements may be altered for methionine, cysteine, and taurine. Although in specific cases of congenital enzyme deficiency, prematurity, or diminished liver function, hypermethionemia or hyperhomocysteinemia may occur, SAA supplementation can be considered safe in amounts exceeding 2-3 times the minimal recommended daily intake. Apart from some very specific indications (e.g., acetaminophen poisoning) the usefulness of SAA supplementation is not yet established.(PMID 16702341). Methionine is known to exacerbate psychopathological symptoms in schizophrenic patients, there is no evidence of similar effects in healthy subjects. The role of methionine as a precursor of homocysteine is the most notable cause for concern. A loading dose of methionine (0.1 g/kg) has been given, and the resultant acute increase in plasma homocysteine has been used as an index of the susceptibility to cardiovascular disease. Although this procedure results in vascular dysfunction, this is acute and unlikely to result in permanent damage. However, a 10-fold larger dose, given mistakenly, resulted in death. Longer-term studies in adults have indicated no adverse consequences of moderate fluctuations in dietary methionine intake, but intakes higher than 5 times normal resulted in elevated homocysteine levels. These effects of methionine on homocysteine and vascular function are moderated by supplements of vitamins B-6, B-12, C, and folic acid. In infants, methionine intakes of 2 to 5 times normal resulted in impaired growth and extremely high plasma methionine levels, but no adverse long-term consequences were observed. (PMID 16702346).	C5H11NO2S		None	None	None	14.811	15.568	15.089	14.466	14.681	15.084	15.015	14.406	14.916	14.807	14.914	15.175	14.982	14.943	15.142	14.826	15.2	15.075	14.983	14.482	14.936	14.77	14.711	14.97	14.541	15.255	14.837	14.856	15.056	14.892	14.598	14.564	14.435	14.972	15.476	15.032	14.559	15.147	14.554	
148.0626493_MZ	6-Methyladenine	Un	1.0	None	None	None	None	6-Methyladenine is a methylated adenine residue. The formation of internal 6-methyladenine (m6A) residues in eucaryotic messenger RNA (mRNA) is a postsynthetic modification in which S-adenosyl-L-methionine (SAM) serves as the methyl donor. 6-Methyladenine residues have also been localized to heterogeneous nuclear RNA (HnRNA), and for the most part these residues are conserved during mRNA processing. Although the biological significance of internal adenine methylation in eucaryotic mRNA remains unclear, a great deal of research has indicated that this modification may be required for mRNA transport to the cytoplasm, the selection of splice sites or other RNA processing reactions. The presence of m6A residues increases the in vitro translation efficiency of dihydrofolate reductase; an inhibition of m6A residues in dihydrofolate reductase transcripts significantly alters their rate of translation. m6A is found in many human fluids: oviductal fluid, blood plasma and urine. (PMID: 1551452, 8925412, 10481270, 16083005, 16684535, 3506820, 3728186).	C6H7N5, 3-Methyladenine, 1-Methyladenine, 7-Methyladenine		None	None	None	12.987	13.091	13.027	12.979	12.989	12.939	13.113	13.174	13.521	12.961	13.093	13.037	13.186	12.999	12.976	12.767	12.988	13.084	12.883	12.908	13.049	12.958	13.127	13.108	12.992	13.164	13.046	13.108	13.216	13.068	13.283	12.991	13.009	13.059	13.365	13.072	12.896	13.036	13.201	
149.0456494_MZ	D-Ribose	Un	1.0	None	None	None	None	D-ribose is commonly referred to simply as ribose, a five-carbon sugar found in all living cells. Ribose is not an essential nutrient because it can be synthesized by almost every tissue in the body from other substances, such as glucose. It is vital for life as a component of DNA, RNA, ATP, ADP, and AMP. In nature, small amounts of ribose can be found in ripe fruits and vegetables. Brewer's yeast, which has a high concentration of RNA, is another rich source of ribose. D-ribose is also a component of many so-called energy drinks and antiaging products available on the market today. Ribose is a structural component of ATP, which is the primary energy source for exercising muscle. The adenosine component is an adenine base attached to the five-carbon sugar ribose. ATP provides energy to working muscles by releasing a phosphate group, hence becoming ADP, which in turn may release a phosphate group, then becoming AMP. During intense muscular activity, the total amount of ATP available is quickly depleted. In an effort to correct this imbalance, AMP is broken down in the muscle and secreted from the cell. Once the breakdown products of AMP are released from the cell, the energy potential (TAN pool) of the muscle is reduced and ATP must then be reformed using ribose. Ribose helps restore the level of adenine nucleotides by bypassing the rate-limiting step in the de novo (oxidative pentose phosphate) pathway, which regenerates 5-phosphoribosyl-l-pyrophosphate (PRPP), the essential precursor for ATP. If ribose is not readily available to a cell, glucose may be converted to ribose. Ribose supplementation has been shown to increase the rate of ATP resynthesis following intense exercise. The use of ribose in men with severe coronary artery disease resulted in improved exercise tolerance. Hence, there is interest in the potential of ribose supplements to boost muscular performance in athletic activities. (PMID: 17618002, Curr Sports Med Rep. 2007 Jul;6(4):254-7.).	C5H10O5, D-Xylose, 2-Deoxyribonic acid, D-Ribulose, L-Arabinose, L-Threo-2-pentulose, D-Xylulose, L-Ribulose, Beta-D-ribopyranose, Arabinofuranose		None	None	None	13.689	13.664	13.555	13.657	13.497	14.049	13.489	13.392	13.604	13.743	13.648	13.675	13.751	13.719	13.953	13.669	13.679	13.575	13.823	13.255	13.449	13.434	13.477	13.741	13.503	13.961	13.618	13.837	13.973	13.497	13.696	13.446	13.481	13.634	14.113	14.075	13.405	13.3	13.149	
149.0586698_MZ	Hydrocinnamic acid	Un	1.0	None	None	None	None	Hydrocinnamic acid is an analogue of phenylalanine. It is a substrate of the enzyme oxidoreductases [EC 1.14.12.-] in the pathway phenylalanine metabolism (KEGG).	C9H10O2, 3-Methylphenylacetic acid, 4-Coumaryl alcohol, 2-Phenylpropionate		None	None	None	13.319	13.637	14.157	13.609	13.524	13.915	13.861	13.82	13.502	13.792	14.113	13.813	13.476	14.085	13.453	12.953	13.403	13.64	13.05	13.445	13.537	13.507	13.41	13.888	13.484	13.555	13.278	13.171	13.772	12.957	13.423	13.338	13.459	13.138	13.671	13.123	13.309	13.775	13.555	
149.0970810_MZ	(+)-(S)-Carvone	Un	1.0	None	None	None	None	Carvone is a volatile terpenoid. Carvone is found in many essential oils and is very abundant in the seeds of caraway (Carum carvi). Carvone is occasionally found as a component of biological fluids in normal individuals. Caraway was used for medicinal purposes by the ancient Romans, but carvone was probably not isolated as a pure compound until Varrentrapp obtained it in1841. (PMID: 5556886, 2477620, Wikipedia).	C10H14O		None	None	None	13.044	13.248	13.753	13.262	13.62	13.581	13.353	13.392	13.308	13.378	13.948	13.44	13.147	13.648	12.986	12.964	13.069	13.353	13.082	13.265	13.563	13.095	13.143	13.572	13.277	13.27	13.095	13.143	13.616	12.946	13.109	13.141	13.406	12.961	13.275	13.086	13.307	13.678	13.24	
150.0901321_MZ	N-Methylphenylethanolamine	Un	1.0	None	None	None	None	N-Methylphenylethanolamine is an intermediate in the metabolism of Tyrosine. It is a substrate for Phenylethanolamine N-methyltransferase.	C9H13NO		None	None	None	10.618	10.444	10.552	10.573	10.358	10.532	10.441	10.672	10.434	10.542	10.433	10.183	10.416	10.44	10.643	10.575	10.488	10.495	10.094	10.626	10.444	10.59	10.536	10.715	10.579	10.589	10.389	10.63	10.655	10.221	10.303	10.43	10.363	10.554	10.399	10.42	10.591	10.435	10.628	
151.0260914_MZ	Xanthine	Un	1.0	None	None	None	None	Xanthine is a purine base found in most body tissues and fluids, certain plants, and some urinary calculi. It is an intermediate in the degradation of adenosine monophosphate to uric acid, being formed by oxidation of hypoxanthine. The methylated xanthine compounds caffeine, theobromine, and theophylline and their derivatives are used in medicine for their bronchodilator effects. (Dorland, 28th ed.).	C5H4N4O2, 6,8-Dihydroxypurine		None	None	None	17.315	17.454	17.633	17.65	17.6	19.002	18.098	17.056	18.456	19.212	17.888	19.062	17.749	18.536	17.968	19.357	18.598	18.545	18.077	18.19	18.209	17.302	18.822	18.502	18.745	18.352	18.85	18.438	18.708	17.238	19.318	18.175	18.45	18.196	18.673	18.65	18.62	17.471	18.097	
151.0764184_MZ	Hydroxyisocaproic acid	Un	1.0	None	None	None	None	Hydroxyisocaproic acid is an end product of leucine metabolism in human tissues such as muscle and connective tissue. It belongs to 2-hydroxycarboxylic acid group of amino acid metabolites (PMID 6434570 ). Hydroxyisocaproic acid functions as an â€œanti-cataboliteâ€ù and is widely used in the body building community.  Chronic alpha-hydroxyisocaproic acid treatment of rats has been shown to improve muscle recovery after immobilization-induced atrophy (PMID: 23757407).  Additionally, a 4-week hydroxyisocaproic acid supplementation of 1.5 g a day was shown to lead to increases in muscle mass during an intensive training period among soccer athletes (PMID: 20051111). Hydroxyisocaproic acid  has also shown some potential as a topical antibiotic (PMID: 22483561). Elevated levels of 2-hydroxyisocaproic acid have been found in the urine of patients with dihydrolipoyl dehydrogenase (E3) deficiency (PMID: 6688766).  Hydroxyisocaproic acid is also elevated in Maple Syrup urine disease and has been shown to accelerate lipid peroxidation.  It may also be an indicator of oxidative stress (PMID: 11894849).	C6H12O3, 2-Hydroxy-3-methylpentanoic acid, (5R)-5-Hydroxyhexanoic acid, 5-Hydroxyhexanoic acid, D-Leucic acid, Leucinic acid, 2-Hydroxycaproic acid, 2-Ethyl-2-Hydroxybutyric acid, (R)-3-Hydroxyhexanoic acid, 6-Hydroxyhexanoic acid		None	None	None	13.172	13.536	14.262	13.653	14.115	14.133	13.736	13.788	13.661	13.907	14.351	13.861	13.467	14.204	13.192	13.593	13.35	13.691	13.091	13.483	13.773	13.123	13.466	13.85	13.55	13.47	13.395	13.262	14.014	13.043	13.413	13.269	13.633	13.318	13.459	13.329	13.494	13.925	13.294	
151.1128141_MZ	Alpha-Pinene-oxide	Un	1.0	None	None	None	None	Alpha-pinene oxide is cheap monoterpene, which is important compound for the fragnance industry. Biocatalytic method is used to convert monoterpenes into terpenoids. The biotransformation of alpha-pinene oxide using resting cells of Pseudomonas fluorescens NCIMB 11671 produces isonovalal (cis-2-methyl-5-isopropylhexa-2,5-dienal), which is a fragrance. However, this biotransformation has technical problems including the following: alpha-pinene oxide undergoes autoxidation in water and light; it is hydrophobic and relatively toxic to the biocatalyst; and it suffers from product inhibition. the influence of other terpene byproducts on the flux of alpha-pinene oxide was investigated and found to decrease the flux into the organic phase by up to 10%. (PMID: 16321051).	C10H16O, (-)-trans-Carveol, Perillyl alcohol		None	None	None	12.883	13.169	13.884	13.276	13.565	13.678	13.249	13.268	13.125	13.272	13.971	13.314	13.049	13.695	12.996	12.46	12.792	13.065	12.604	12.846	13.659	12.708	12.946	13.522	13.115	13.157	12.844	12.697	13.739	12.883	13.043	12.697	13.07	12.671	13.173	12.751	12.882	13.359	12.79	
152.0828162_MZ	N-Acetylhistamine	Un	1.0	None	None	None	None	N-Acetylhistamine is a 4-(beta-Acetylaminoethyl)imidazole that is an intermediate in Histidine metabolism. It is generated from Histamine via the enzyme Transferases (EC 2.3.1.-). Histamine is an amine derived by enzymatic decarboxylation of histidine. It is a powerful stimulant of gastric secretion, a constrictor of bronchial smooth muscle, a vasodilator, and also a centrally acting neurotransmitter.	C7H11N3O		None	None	None	11.77	12.035	12.031	11.934	11.969	12.125	11.56	11.684	12.088	11.602	12.089	11.982	11.572	11.966	12.626	11.743	11.446	11.36	11.542	11.713	11.602	11.546	11.827	11.934	11.555	11.842	11.551	12.03	11.964	11.471	11.727	11.554	11.524	11.645	11.787	11.853	11.468	11.75	11.771	
153.0185447_MZ	Gentisic acid	Un	1.0	None	None	None	None	Gentisic acid is a dihydroxybenzoic acid. It is a crystalline powder that forms monoclinic prism in water solution. Gentisic acid is an active metabolite of salicylic acid degradation. There is an increasing amount of evidence indicating that gentisic acid has a broad spectrum of biological activity, such as anti-inflammatory, antirheumatic and antioxidant properties. Gentisic acid is also a byproduct of tyrosine and benzoate metabolism.	C7H6O4, 2-Pyrocatechuic acid, Protocatechuic acid, 3,5-Dihydroxyphenylbenzoic acid		None	None	None	14.566	14.299	14.36	14.582	14.435	15.096	14.497	14.312	14.362	14.916	14.613	14.574	14.478	14.643	14.477	15.01	14.792	14.53	14.584	14.556	14.647	14.401	14.311	14.675	14.436	14.327	14.839	14.583	14.644	14.193	14.43	14.406	14.601	14.593	14.862	14.767	14.385	14.443	14.229	
153.0554354_MZ	Hydroxytyrosol	Un	1.0	None	None	None	None	Hydroxytyrosol is a polyphenol extracted from virgin olive oil and a natural antioxidant. It has a protective effect in preventing protein damage induced by ultraviolet radiation (PMID: 15749387). Research results suggest that Hydroxytyrosol could exert its antioxidant effect by scavenging hydrogen peroxide but not superoxide anion released during the respiratory burst(PMID: 15476671).	C8H10O3		None	None	None	13.778	13.727	14.131	13.589	14.096	14.162	13.835	13.903	13.603	13.734	14.272	13.596	13.606	13.988	13.8	13.737	13.459	13.773	13.697	13.378	13.792	13.485	13.457	13.823	13.594	13.739	13.739	13.374	14.007	13.568	13.523	13.605	13.533	13.255	13.56	13.631	13.595	13.843	13.405	
153.0668990_MZ	L-Canaline	Un	1.0	None	None	None	None	Canavanine reacts with water to produce L-canaline and urea. The reaction is catalyzed by arginase. L-canaline reacts with carbamoyl-phosphate to produce O-ureidohomoserine and phosphate. The reaction is catalyzed by ornithine carbamoyltransferase.	C4H10N2O3		None	None	None	15.987	15.36	14.971	14.377	15.253	15.556	15.409	15.63	14.415	13.895	14.67	13.692	14.516	14.242	15.99	15.755	15.154	15.257	16.026	13.442	14.797	15.239	14.772	14.662	14.431	15.869	15.719	14.473	14.937	15.72	14.944	15.697	13.785	14.367	14.229	15.383	14.91	13.514	14.378	
154.0621843_MZ	L-Histidine	Un	1.0	None	None	None	None	Histidine is an alpha-amino acid with an imidazole functional group. It is one of the 22 proteinogenic amino acids. Histidine was first isolated by German physician Albrecht Kossel in 1896. Histidine is an essential amino acid in humans and other mammals. It was initially thought that it was only essential for infants, but longer-term studies established that it is also essential for adults. Infants four to six months old require 33 mg/kg of histidine. It is not clear how adults make small amounts of histidine, and dietary sources probably account for most of the histidine in the body. Histidine is a precursor for histamine and carnosine biosynthesis. Inborn errors of histidine metabolism exist and are marked by increased histidine levels in the blood. Elevated blood histidine is accompanied by a wide range of symptoms, from mental and physical retardation to poor intellectual functioning, emotional instability, tremor, ataxia and psychosis. Histidine and other imidazole compounds have anti-oxidant, anti-inflammatory and anti-secretory properties (PMID: 9605177). The efficacy of L-histidine in protecting inflamed tissue is attributed to the capacity of the imidazole ring to scavenge reactive oxygen species (ROS) generated by cells during acute inflammatory response (PMID: 9605177). Histidine, when administered in therapeutic quantities is able to inhibit cytokines and growth factors involved in cell and tissue damage (US patent 6150392). Histidine in medical therapies has its most promising trials in rheumatoid arthritis where up to 4.5 g daily have been used effectively in severely affected patients. Arthritis patients have been found to have low serum histidine levels, apparently because of very rapid removal of histidine from their blood (PMID: 1079527). Other patients besides arthritis patients that have been found to be low in serum histidine are those with chronic renal failure. Urinary levels of histidine are reduced in pediatric patients with pneumonia. (PMID: 2084459). Asthma patients exhibit increased serum levels of histidine over normal controls (PMID: 23517038).  Serum histidine levels are lower and are negatively associated with inflammation and oxidative stress in obese women (PMID: 23361591).  Histidine supplementation has been shown to reduce insulin resistance, reduce BMI and fat mass and suppress inflammation and oxidative stress in obese women with metabolic syndrome.  Histidine appears to suppress pro-inflammatory cytokine expression, possibly via the NF-ÎºB pathway, in adipocytes (PMID: 23361591). Low plasma concentrations of histidine are associated with protein-energy wasting, inflammation, oxidative stress, and greater mortality in chronic kidney disease patients (PMID: 18541578). Histidine may have many other possible functions because it is the precursor of the ubiquitous neurohormone-neurotransmitter histamine. Histidine increases histamine in the blood and probably in the brain. Low blood histamine with low serum histidine occurs in rheumatoid arthritis patients. Low blood histamine also occurs in some manic, schizophrenic, high copper and hyperactive groups of psychiatric patients. Histidine is a useful therapy in all patients with low histamine levels. (http://www.dcnutrition.com ).	C6H9N3O2		None	None	None	19.682	19.494	19.223	18.986	19.229	19.867	19.179	19.496	19.06	18.865	19.421	19.306	19.467	19.386	20.768	18.955	18.89	19.338	19.347	18.933	19.396	19.294	19.322	19.499	19.06	19.204	19.379	19.744	19.73	19.624	20.157	19.165	18.955	19.047	19.571	19.389	18.757	19.082	18.779	
154.9750286_MZ	Phosphoglycolic acid	Un	1.0	None	None	None	None	Phosphoglycolic acid is a substrate for triose-phosphate isomerase.	C2H5O6P		None	None	None	15.084	15.307	15.163	13.819	15.231	15.476	14.987	15.139	15.301	14.784	15.253	15.566	15.01	14.999	14.676	15.15	15.037	15.047	15.339	14.937	15.202	15.332	14.384	15.506	15.189	14.721	15.234	15.036	15.172	14.964	14.604	15.11	15.129	15.353	15.537	15.232	14.769	15.223	14.508	
155.0462603_MZ	Imidazolelactic acid	Un	1.0	None	None	None	None	Imidazolelactic acid is the component of normal human urine. (PMID: 5856262). histidine loading causes an increase in the excretion of imidazolelactic acid. (PMID: 6021220). During pregnancy the values for imidazolelactic acid in urine is increased 3-fold. An interaction of allergic reactions and anomalies in the metabolism of the sex hormones are considered to form the basis of the pregnancy-specific illnesses that were studied. (PMID: 5789877). Urinary excretion of imidazolelactic acid is also an indication for folic acid and vitamin B12 deficiency. (PMID: 4645251).	C6H8N2O3, 5-Hydroxymethyl-4-methyluracil, 4-Imidazolone-5-propionic acid		None	None	None	14.636	14.962	14.838	15.508	13.963	15.621	14.421	15.139	13.944	13.613	14.869	14.542	14.398	14.159	16.278	14.036	13.602	14.263	14.657	13.614	14.863	14.605	14.81	14.229	13.794	14.501	14.339	15.212	15.419	14.968	15.533	14.498	14.859	14.981	15.17	15.122	14.428	14.046	13.956	
155.1076649_MZ	4-Hydroxynonenal	Un	1.0	None	None	None	None	4-Hydroxynonenal (HNE), one of the major end products of lipid peroxidation, has been shown to be involved in signal transduction and available evidence suggests that it can affect cell cycle events in a concentration-dependent manner. glutathione S-transferases (GSTs) can modulate the intracellular concentrations of HNE by affecting its generation during lipid peroxidation by reducing hydroperoxides and also by converting it into a glutathione conjugate. Overexpression of the Alpha class GSTs in cells leads to lower steady-state levels of HNE, and these cells acquire resistance to apoptosis induced by lipid peroxidation-causing agents such as H(2)O(2), UVA, superoxide anion, and pro-oxidant xenobiotics, suggesting that signaling for apoptosis by these agents is transduced through HNE. Cells with the capacity to exclude HNE from the intracellular environment at a faster rate are relatively more resistant to apoptosis caused by H(2)O(2), UVA, superoxide anion, and pro-oxidant xenobiotics as well as by HNE, suggesting that HNE may be a common denominator in mechanisms of apoptosis caused by oxidative stress. Transfection of adherent cells with HNE-metabolizing GSTs leads to transformation of these cells due to depletion of HNE. (PMID 15288119).	C9H16O2		None	None	None	14.861	15.314	15.647	15.349	15.631	16.036	15.071	15.156	15.139	15.394	16.191	15.241	15.38	15.743	14.746	14.339	14.649	14.935	14.753	15.019	15.755	15.226	14.679	15.405	14.937	15.007	14.631	14.688	15.78	14.705	14.889	14.784	15.043	14.705	15.319	14.868	14.954	15.639	14.738	
156.0300928_MZ	2-Aminomuconic acid	Un	1.0	None	None	None	None	2-Aminomuconic acid is a product of the Tryptophan metabolism degradation pathway (kinurenine pathway), in a reaction catabolized by the enzyme aminocarboxymuconate semialdehyde decarboxylase [EC:4.1.1.45]. The kynurenine pathway is the major route of L-tryptophan degradation in mammals. (BioCyc).	C6H7NO4		None	None	None	13.066	12.506	14.08	14.723	12.767	13.529	12.945	13.062	14.102	13.242	13.913	13.029	13.134	13.52	12.917	12.612	13.793	12.97	12.568	12.439	13.938	13.122	13.278	14.519	13.07	13.722	13.005	12.764	13.211	12.273	13.336	12.987	12.246	14.497	12.899	13.194	13.329	13.223	12.357	
156.0665716_MZ	Tiglylglycine	Un	1.0	None	None	None	None	Tiglylglycine is an acyl glycine. Acyl glycines are normally minor metabolites of fatty acids. However, the excretion of certain acyl glycines is increased in several inborn errors of metabolism. In certain cases the measurement of these metabolites in body fluids can be used to diagnose disorders associated with mitochondrial fatty acid beta-oxidation. Acyl glycines are produced through the action of glycine N-acyltransferase (EC 2.3.1.13) which is an enzyme that catalyzes the chemical reaction:. acyl-CoA + glycine < -- > CoA + N-acylglycine. Tiglylglycine is an intermediate product of the catabolism of isoleucine. An elevated level of tiglylglycine is identified in urine of patients with beta-ketothiolase deficiency or with disorders of propionate metabolism (PMID 7923765).	C7H11NO3, 3-Methylcrotonylglycine		None	None	None	13.972	13.8	14.003	14.597	13.497	14.215	13.587	13.871	13.886	13.358	13.822	13.779	13.763	13.591	14.429	13.7	14.053	13.84	13.473	13.557	14.329	13.77	13.773	14.345	13.395	13.575	13.927	13.864	14.31	13.604	14.394	13.36	13.124	14.133	14.142	13.984	13.635	13.836	13.318	
157.0366638_MZ	Allantoin	Un	1.0	None	None	None	None	Allantoin is a diureide of glyoxylic acid with the chemical formula C4H6N4O3. It is also called 5-ureidohydantoin, glyoxyldiureide, and 5-ureidohydantoin. It is a product of oxidation of uric acid. It is a product of purine metabolism in most mammals except higher apes, and it is present in their urine. In humans, uric acid is excreted instead of allantoin. The presence of allantoin in the urine can be an indication of microbial overgrowth or it can be created via non-enzymatic means through high levels of reactive oxygen species. In this regard Allantoin is sometimes used as a marker of oxidative stress. Allantoin can be isolated from cow urine or as a botanical extract of the comfrey plant. It has long been used for its healing, soothing, and anti-irritating properties. Allantoin helps to heal wounds and skin irritations and stimulates the growth of healthy tissue. Allantoin can be found in anti-acne products, sun care products, and clarifying lotions because of its ability to help heal minor wounds and promote healthy skin. Allantoin is frequently present in toothpaste, mouthwash, and other oral hygiene products as well as shampoos, lipsticks, various cosmetic lotions and creams and other cosmetic and pharmaceutical products.	C4H6N4O3		None	None	None	14.543	14.566	14.679	14.727	15.135	14.91	14.633	14.647	15.139	15.159	14.761	14.997	15.266	15.216	14.685	14.776	15.033	14.908	14.609	15.043	14.994	14.712	14.895	15.301	14.918	14.95	15.055	15.244	14.648	14.185	15.107	14.641	15.205	15.006	15.14	14.949	14.952	14.972	14.341	
